id,original_title,title,bag_of_words
544,Angel Heart,Angel Heart,Horror Mystery Thriller English Français TriStarPictures WinkastFilmProductions CarolcoPictures Union MickeyRourke RobertDeNiro LisaBonet CharlotteRampling StockerFontelieu BrownieMcGhee MichaelHiggins WilliamHjortsberg AlanParker AlanParker southernusa amnesia drugaddiction neworleans neurosis heart fan sanatorium aggressionbyanimal vision blood church drug demon incest 
545,Shaft,Shaft,Adventure Action Thriller Crime English Metro-Goldwyn-Mayer(MGM) ShaftProductionsLtd. RichardRoundtree MosesGunn CharlesCioffi ChristopherSt.John GwennMitchell LawrencePressman VictorArnold GordonParks ErnestTidyman ErnestTidyman JohnD.F.Black newyork blackpeople ghetto daughter police blaxploitation 
546,The Conversation,The Conversation,Crime Drama Mystery English ParamountPictures TheCoppolaCompany TheDirectorsCompany GeneHackman JohnCazale FredericForrest CindyWilliams HarrisonFord TeriGarr AllenGarfield FrancisFordCoppola FrancisFordCoppola sanfrancisco paranoia audiotape wiretap shadowing 
547,Trouble in Paradise,Trouble in Paradise,Comedy Romance English Italiano ParamountPictures MiriamHopkins KayFrancis HerbertMarshall CharlesRuggles EdwardEverettHorton C.AubreySmith RobertGreig ErnstLubitsch AladarLaszlo GroverJones SamsonRaphaelson venice robbery jealousy widow approach secretary extramaritalaffair emotions 
548,Big Trouble in Little China,Big Trouble in Little China,Action Adventure Comedy Fantasy 广州话/廣州話 English TwentiethCenturyFoxFilmCorporation TAFTEntertainmentPictures KurtRussell KimCattrall DennisDun JamesHong VictorWong KateBurton DonaldLi JohnCarpenter DavidZ.Weinstein W.D.Richter GaryGoldman kungfu chinatown magic mystery 
549,Shaft,Shaft,Action Adventure Crime Thriller English Español Deutsch ParamountPictures ScottRudinProductions SamuelL.Jackson JeffreyWright ChristianBale BustaRhymes DanHedaya ToniCollette RichardRoundtree RichardPrice ShaneSalerno JohnSingleton JohnSingleton ErnestTidyman corruption blackpeople italo-american brothersisterrelationship drugdealer revenge murder violence drug policeofficer xenophobia 
550,Titan A.E.,Titan A.E.,Animation Action ScienceFiction Family Adventure English 普通话 TwentiethCenturyFoxFilmCorporation DavidKirschnerProductions FoxAnimationStudios MattDamon BillPullman DrewBarrymore JohnLeguizamo NathanLane JaneaneGarofalo RonPerlman JohnAugust GaryGoldman JossWhedon DonBluth HansBauer RandallMcCormick BenEdlund monster galaxy dystopia space alien animation mission 
551,"Me, Myself & Irene","Me, Myself & Irene",Comedy English Deutsch TwentiethCenturyFoxFilmCorporation ConundrumEntertainment JimCarrey RenéeZellweger AnthonyAnderson RobertForster RichardJenkins ZenGesner MongoBrownlee BobbyFarrelly BobbyFarrelly PeterFarrelly PeterFarrelly MikeCerrone schizophrenia ex-cop aftercreditsstinger duringcreditsstinger 
552,The Patriot,The Patriot,Drama History War Action English CentropolisEntertainment ColumbiaPicturesCorporation MutualFilmCompany GlobalEntertainmentProductionsGmbH&CompanyMedienKG MelGibson HeathLedger JoelyRichardson JasonIsaacs TchékyKaryo ChrisCooper LisaBrenner RolandEmmerich RobertRodat TimothyBurgard rebel southernusa lossofson martialarts general lossoffamily passion insurgence french daughter southcarolina british basedontruestory gore mission 
553,The Perfect Storm,The Perfect Storm,Drama English WarnerBros. BaltimoreSpringCreekProductions RadiantProductions GeorgeClooney MarkWahlberg DianeLane JohnC.Reilly WilliamFichtner BobGunton KarenAllen WolfgangPetersen SebastianJunger WilliamD.Wittliff u.s.airforce grocery jamaican meteorologist rescueboat marina cityhall theflemishcap malecamaraderie stormatsea 
554,Shaft in Africa,Shaft in Africa,Adventure Action Thriller Crime Mystery English Metro-Goldwyn-Mayer(MGM) ShaftProductionsLtd. RichardRoundtree FrankFinlay VonettaMcGee NedaArnerić DebebeEshetu SpirosFocás JacquesHerlin ErnestTidyman JohnGuillermin StirlingSilliphant paris africa illegalimmigration ethiopia humantrafficking languagecourse circumcision blaxploitation 
555,Shaft's Big Score!,Shaft's Big Score!,Action Adventure Crime Mystery English Metro-Goldwyn-Mayer(MGM) ShaftProductionsLtd. RichardRoundtree MosesGunn DrewBundiniBrown JosephMascolo KathyImrie WallyTaylor JuliusHarris ErnestTidyman GordonParks bomb gambling helicopter cemetery coffin attemptedmurder investigation observer blaxploitation gravedigger 
556,The Kid,The Kid,Fantasy Comedy Family English WaltDisneyPictures BruceWillis SpencerBreslin EmilyMortimer LilyTomlin ChiMcBride JeanSmart DanaIvey JonTurteltaub AudreyWells agedifference midlifecrisis suppressedpast self-awareness childhoodmemory humor changingthepastorfuture 
557,Scary Movie,Scary Movie,Comedy English Gold/MillerProductions WayansBros.Entertainment DimensionFilms BradGreyPictures CarmenElectra DaveSheridan AnnaFaris JonAbrahams ReginaHall MarlonWayans ShannonElizabeth MarlonWayans KeenenIvoryWayans ShawnWayans BuddyJohnson PhilBeauman JasonFriedberg AaronSeltzer JimCoombs sex garage psychopath crudehumor drug 
558,Xizao,Shower,"Comedy Drama Foreign English 普通话 Español ImarFilmCo.,Ltd. ZhuXu QuanxinPu JiangWu HeZeng ZhangJinHao LaoLin LaoWu ZhangYang FendouLiu XinHuo ShangjunCai ZhangYang Yi'nanDiao mentallydisabled tradition wifehusbandrelationship shower modernity modernsociety wife businessman bathhouse marriagecrisis beijing operasinger "
559,Footloose,Footloose,Drama Family Music Romance English ParamountPictures IndieProdCompanyProductions KevinBacon JohnLithgow DianneWiest ChrisPenn LoriSinger SarahJessicaParker TimothyScott HerbertRoss DeanPitchford dancing dancer dance music danceteacher 
560,Anatomy of a Murder,Anatomy of a Murder,Crime Drama Mystery Thriller English ColumbiaPictures JamesStewart LeeRemick BenGazzara ArthurO'Connell EveArden KathrynGrant GeorgeC.Scott OttoPreminger WendellMayes JohnD.Voelker rape adultery jealousy michigan judge hayscode jazz jurors courtcase lawyer 
561,Saving Grace,Saving Grace,Crime Comedy Français English FineLineFeatures HomerunProductions PortmanEntertainmentGroup RichPickings SkyPictures WavePictures BrendaBlethyn CraigFerguson MartinClunes TchékyKaryo JamieForeman BillBailey ValerieEdmond NigelCole MarkCrowdy MarkCrowdy CraigFerguson drugdealer greenhouse police drug hoodlum 
562,Shane,Shane,Drama Western English ParamountPicturesCorporation AlanLadd JeanArthur VanHeflin BrandonDeWilde JackPalance BenJohnson EdgarBuchanan GeorgeStevens JackSchaefer A.B.GuthrieJr. JackSher basedonnovel gun settler gunfight homestead cattleranch gunfighter cattleman startingover 
563,X: The Unknown,X: The Unknown,Horror ScienceFiction Mystery English HammerFilmProductions DeanJagger LeoMcKern WilliamLucas EdwardChapman JohnHarvey MichaelRipper AnthonyNewley JimmySangster JimmySangster JosephLosey LeslieNorman radiation minister blackandwhite 
564,Bring It On,Bring It On,Comedy English BeaconCommunications KirstenDunst JesseBradford ElizaDushku GabrielleUnion HuntleyRitter ClareKramer NicoleBilderback PeytonReed JessicaBendinger cheerleader sport highschool teenagegirl cheerleading cheeringcrowd duringcreditsstinger 
565,The Way of the Gun,The Way of the Gun,Action Crime Drama Thriller English Français BeniciodelToro RyanPhillippe JulietteLewis JamesCaan TayeDiggs NickyKatt GeoffreyLewis ChristopherMcQuarrie ChristopherMcQuarrie MarkLambertBristol gunslinger mexico hotel ransom mexicanstandoff kidnapping spermbank fromragstoriches surrogatemother money gunfight drifter gangster criminal desert millionaire neo-western 
566,Almost Famous,Almost Famous,Drama Music English ColumbiaPictures VinylFilms DreamWorksPictures KateHudson BillyCrudup FrancesMcDormand JasonLee PatrickFugit ZooeyDeschanel MichaelAngarano CameronCrowe CameronCrowe hotelroom sandiego drugaddiction stewardess overdose groupie musicjournalist rock heavymetal concert swimmingpool basedontruestory promiscuity comingofage ontheroad domineeringmother reconciliation semiautobiographical innocencelost bustrip aspiringwriter 
567,Dancer in the Dark,Dancer in the Dark,Drama Crime Music English FineLineFeatures ZentropaEntertainments DanmarksRadio(DR) SVTDrama Arte MemfisFilm France3Cinéma Angelfilms TV1000 Canal+ ConstantinFilmProduktion Yleisradio(YLE) ArteFranceCinéma WestdeutscherRundfunk(WDR) BlindSpotPicturesOy VrijzinnigProtestantseRadioOmroep(VPRO) Film4 LiberatorProductions IcelandicFilm FilmiVäst PainUnlimitedGmbHFilmproduktion TrustFilmSvenska CinematographA/S WhatElse?B.V FilmekA/S LantiaCinema&Audiovisivi Björk CatherineDeneuve DavidMorse PeterStormare JoelGrey CaraSeymour VladicaKostic LarsvonTrier LarsvonTrier individual dancing usa robbery factoryworker secret factory smalltown dance blindnessandimpairedvision deathpenalty immigrant eyeoperation eyesight fantasy naivety self-abandonment hereditarydisease lossofeyesight czech dyinganddeath van friendship murder teacher debt execution crime policeofficer 
568,Stranger Than Paradise,Stranger Than Paradise,Comedy Drama English Magyar JohnLurie EszterBalint RichardEdson CecilliaStark DannyRosen Rammellzee TomDiCillo JimJarmusch JimJarmusch newyork bet horserace florida hungary cardgame americandream immigrant cleveland friendship independentfilm 
569,Voyage to the Bottom of the Sea,Voyage to the Bottom of the Sea,Adventure Drama ScienceFiction English Français TwentiethCenturyFoxFilmCorporation WindsorProductions WalterPidgeon JoanFontaine BarbaraEden PeterLorre RobertSterling MichaelAnsara FrankieAvalon IrwinAllen IrwinAllen CharlesBennett IrwinAllen mutiny climatechange iceberg nuclearmissile heat raceagainsttime torpedo physicist betrayal laboratory armageddon electrocution explosion unitednations sabotage diver religiousfanatic brawl moraldilemma desertion minisubmarine abandonedship giantsquid disobeyingorders minefield nuclearsubmarine meteorshower skyonfire vanallenradiationbelt 
570,Fantastic Voyage,Fantastic Voyage,Adventure ScienceFiction English TwentiethCenturyFoxFilmCorporation StephenBoyd RaquelWelch EdmondO'Brien DonaldPleasence ArthurO'Connell WilliamRedfield ArthurKennedy RichardFleischer HarryKleiner DavidDuncan JeromeBixby OttoKlement submarine coma claustrophobia wound laser doubleagent humanbody shrinking radioactive miniaturization doctor scientist sabotage security military hypodermicneedle brainsurgery turbulence scubadiver bloodclotinbrain microscopic 
571,The Bank Dick,The Bank Dick,Comedy English UniversalStudios W.C.Fields CoraWitherspoon UnaMerkel EvelynDelRio JessieRalph FranklinPangborn ShempHoward EdwardF.Cline W.C.Fields usa california daughter bankrobbery carchase alcoholic securityguard bankheist 
572,Get Carter,Get Carter,Crime Thriller English Metro-Goldwyn-Mayer(MGM) MichaelCaine IanHendry BrittEkland JohnOsborne TonyBeckley BryanMosley GeraldineMoffat MikeHodges MikeHodges hitman british gritty 
573,Meet the Parents,Meet the Parents,Comedy Romance English DreamWorksSKG UniversalPictures TribecaProductions NancyTenenbaumFilms BenStiller RobertDeNiro TeriPolo BlytheDanner OwenWilson NicoleDeHuff JonAbrahams JayRoach GregGlienna MaryRuthClarke JimHerzfeld JohnHamburg JohnDavis cia airport cat jew orderly airplane father-in-law epistaxis daughter lostbaggage urn pavilion volleyball hospital wedding 
574,The Time Machine,The Time Machine,Thriller Adventure Fantasy ScienceFiction Romance English GeorgePalProductions GalaxyFilmsInc. RodTaylor AlanYoung YvetteMimieux SebastianCabot TomHelmore WhitBissell DorisLloyd GeorgePal H.G.Wells DavidDuncan londonengland inventor future timetravel dystopia timemachine 
575,Billy Elliot,Billy Elliot,Drama Comedy Music English BBCFilms TigerAspectProductions StudioCanal ArtsCouncilofEngland WorkingTitleFilms WT2Productions JamieBell JulieWalters JeanHeywood JamieDraven GaryLewis StephenMangan PatrickMalahide StephenDaldry LeeHall workers'quarter dancingclass strike northernengland scholarship ballet 
576,Charlie's Angels,Charlie's Angels,Action Adventure Comedy Crime Thriller English Deutsch suomi 日本語 广州话/廣州話 ColumbiaPictures CameronDiaz LucyLiu DrewBarrymore BillMurray JohnForsythe SamRockwell KellyLynch McG JohnAugust EdSolomon RyanRowe martialarts femalefriendship millionaire agent 
577,The Legend of Bagger Vance,The Legend of Bagger Vance,Fantasy Drama English DreamWorksSKG TwentiethCenturyFoxFilmCorporation WildwoodEnterprises EpsilonMotionPictures AlliedFilmmakers MattDamon BruceMcGill CharlizeTheron WillSmith JoelGretsch J.MichaelMoncrief WilburFitzgerald RobertRedford JeremyLeven StevenPressfield competition worldwari greatdepression caddy savannah 
578,Red Planet,Red Planet,Thriller Action ScienceFiction English VillageRoadshowPictures NPVEntertainment WarnerBros. TheCantonCompany MarsProductionPty.Ltd. ValKilmer Carrie-AnneMoss BenjaminBratt TomSizemore SimonBaker TerenceStamp JessicaMorton JonathanLemkin ChuckPfarrer AntonyHoffman TimothyBurgard mars future astronaut science catastrophe 
579,Diamonds Are Forever,Diamonds Are Forever,Adventure Action Thriller English Deutsch UnitedArtists EonProductions Danjaq SeanConnery JillSt.John CharlesGray LanaWood JimmyDean BruceCabot PutterSmith GuyHamilton IanFleming RichardMaibaum TomMankiewicz spy fight secretorganization satellite secretagent plasticsurgery smuggling murder extortion violence millionaire fingerprints dirtbike casinoowner oldwomanmurdered highdive genderdisguise aftercreditsstinger mastervillain 
580,卧虎藏龙,"Crouching Tiger, Hidden Dragon",Adventure Drama Action Romance 普通话 SonyPicturesClassics ChinaFilmCo-ProductionCorporation ColumbiaPicturesFilmProductionAsia GoodMachine EDKOFilm AsiaUnionFilm&EntertainmentLtd. UnitedChinaVision ZoomHuntInternationalProductionsCompanyLtd. ChowYun-fat MichelleYeoh ZhangZiyi ChangChen ChengPei-Pei SihungLung FaZengLi AngLee JamesSchamus DuLuWang WangHui-Ling KuoJungTsai flying martialarts taskmaster comb tiger desertthief theft femalemartialartist 
581,The Bounty,The Bounty,Action Drama History English DinoDeLaurentiisCompany MelGibson AnthonyHopkins LaurenceOlivier EdwardFox DanielDay-Lewis BernardHill PhilDavis RogerDonaldson RobertBolt RichardHough femalenudity exoticisland mutiny lake nudity sailing ship adventure tahiti murder pregnancy greatbarrierreef sailor nativepeoples stormatsea whipping britishsailor basedontrueevents fiji 
582,"Planes, Trains and Automobiles","Planes, Trains and Automobiles",Comedy English ParamountPictures SteveMartin JohnCandy LailaRobins MichaelMcKean DylanBaker KevinBacon OliviaBurnette JohnHughes JohnHughes thanksgiving receptionist slob st.louismissouri doubletake o'hareairportchicago chatterbox  wichitakansas speedingticket chewingtobacco creditcardfraud statetrooper searstowerchicago unlikelyfriendship aftercreditsstinger 
583,The Living Daylights,The Living Daylights,Action Adventure Thriller English العربية Français Deutsch Pусский Český Slovenčina UnitedArtists EonProductions TimothyDalton Maryamd'Abo JeroenKrabbé JoeDonBaker JohnRhys-Davies ArtMalik AndreasWisniewski IanFleming RichardMaibaum JohnGlen MichaelG.Wilson londonengland smugglingofarms prison england assassination spy falselyaccused secretidentity countryestate armsdeal russia drugtraffic secretmission secretintelligenceservice kgb villain renegade specialcar tangiermorocco bigwheel pipeline cello orchestra freedomfighter czechoslovakia bratislava afghanistan airplane schlossschönbrunn escape moscow vienna 
584,Snatch,Snatch,Thriller Crime English Pусский ColumbiaPicturesCorporation ScreenGems SKAFilms BeniciodelToro DennisFarina VinnieJones BradPitt RadeSerbedzija JasonStatham AlanFord GuyRitchie GuyRitchie PeterWignall gypsy bareknuckleboxing slang trailerpark pig sport receivingofstolengoods cockneyaccent diamond pikey 
585,"Dude, Where’s My Car?","Dude, Where’s My Car?",Comedy English Français 日本語 TwentiethCenturyFoxFilmCorporation AlconEntertainment AshtonKutcher SeannWilliamScott KristySwanson JenniferGarner MarlaSokoloff DavidHerman HalSparks DannyLeiner PhilipStark PaulS.Power dude amnesia idiot auto friendship cannabis hangover spoof teenager drug alcoholabuse celebration car duringcreditsstinger child 
586,What Women Want,What Women Want,Comedy Romance English Français ParamountPictures CentropolisEntertainment IconEntertainmentInternational WindDancerProductions HelenHunt MelGibson MarisaTomei LaurenHolly MarkFeuerstein AlanAlda AshleyJohnson NancyMeyers JoshGoldsmith CathyYuspa DianeDrake JoshGoldsmith CathyYuspa BruceA.Block women telepathy supernaturalpowers advertisingexecutive womandirector 
587,Finding Forrester,Finding Forrester,Drama English FountainbridgeFilms LaurenceMarkProductions ColumbiaPicturesCorporation FindingForresterProductions SeanConnery RobBrown F.MurrayAbraham AnnaPaquin BustaRhymes AprilGrace MichaelPitt GusVanSant MikeRich upperclass brotherbrotherrelationship scotland poetry basedonnovel mentor becominganadult professor literature intellectuallygifted plagiarism literaturecompetition privateschool manuscript seclusion pulitzerprize dyinganddeath idol friendship unsociability highschool scholarship fatherfigure 
588,The Gift,The Gift,Horror Drama Thriller Mystery English LakeshoreEntertainment AlphavilleFilms CateBlanchett GiovanniRibisi KeanuReeves KatieHolmes GregKinnear HilarySwank GaryCole SamRaimi BillyBobThornton TomEpperson fortuneteller dream pond extrasensoryperception 
589,Before Night Falls,Before Night Falls,Drama Español English ElMarPictures GrandviewPictures JavierBardem OlivierMartinez JohnnyDepp AndreaDiStefano SantiagoMagill JohnOrtiz HectorBabenco JulianSchnabel JulianSchnabel ReynaldoArenas CunninghamO'Keefe LázaroGómezCarriles suicide gay newyork cuba aids opression totalitarianregime artist hotairballoon exile attempttoescape fidelcastro cubanrevolution homosexuality author 
590,The Family Man,The Family Man,Comedy Drama Romance Fantasy English UniversalPictures NicolasCage TéaLeoni DonCheadle SaulRubinek AmberValletta MakenzieVegaNorfolk RyanMilkovich BrettRatner DavidDiamond DavidWeissman workaholic secondchance guardianangel christmas careervsfamily lifereprioritizing 
591,Traffic,Traffic,"Thriller Drama Crime Español English USAFilms InitialEntertainmentGroup(IEG) BedfordFallsCompany,The CompulsionInc. SplendidMedienAG MichaelDouglas BeniciodelToro JacobVargas TomásMilián RussellG.Jones MichaelO'Neill CatherineZeta-Jones StevenSoderbergh SimonMoore StephenGaghan usa warondrugs drugtraffic drugdealer drugsmuggle addicted policeoperation unitedstates–mexicobarrier addiction druglord "
592,Breakheart Pass,Breakheart Pass,Thriller Western Mystery English Français UnitedArtists JerryGershwinProductions ElliottKastnerProductions CharlesBronson BenJohnson JillIreland EdLauter BillMcKinney DavidHuddleston RichardCrenna TomGries AlistairMacLean AlistairMacLean prisoner trainride governor army u.s.marshal train 
593,The Pledge,The Pledge,Crime Drama Mystery Thriller English EpsilonMotionPictures FranchisePictures MorganCreekProductions ClydeIsHungryFilms PledgeProductions JackNicholson AaronEckhart HelenMirren RobinWright VanessaRedgrave SamShepard BeniciodelToro SeanPenn FriedrichDürrenmatt JerzyKromolowski MaryOlson-Kromolowski promise murder drawing porcupine pledge retirementparty criminalprofile 
594,Prelude to a Kiss,Prelude to a Kiss,Drama Comedy Romance Nederlands English TwentiethCenturyFoxFilmCorporation Gruskoff/LevyCompany MLFilmEntertainmentInternational MegRyan AlecBaldwin NedBeatty KathyBates PattyDuke RichardRiehle StanleyTucci NormanRené CraigLucas loveatfirstsight bodyexchange 
595,The Wedding Planner,The Wedding Planner,Comedy English ColumbiaPicturesCorporation IntermediaFilms DeeGeeEntertainment TapestryFilms PrufrockPictures IMFInternationaleMedienundFilmGmbH&Co.ProduktionsKG JenniferLopez MatthewMcConaughey JustinChambers JoannaGleason LouMyers KathyNajimy CharlesKimbrough AdamShankman PamelaFalk MichaelEllis skabundertv foran nederstehylde 
596,Best Seller,Best Seller,Action Crime Drama Thriller English OrionPictures HemdaleFilm JamesWoods BrianDennehy VictoriaTennant AllisonBalson PaulShenar GeorgeCoe AnnePitoniak JohnFlynn LarryCohen newyork bomb california robbery detective texas attemptedmurder police sociopath murder suspense heist serialkiller author gunfight writer policedetective explodingcar carexplosion nixon 
597,Beverly Hills Cop,Beverly Hills Cop,"Action Comedy Crime English ParamountPictures EddieMurphyProductions EddieMurphy JudgeReinhold JohnAshton RonnyCox PaulReiser GilbertR.Hill LisaEilbacher MartinBrest DaniloBach DanielPetrie,Jr. DaniloBach DanielPetrie,Jr. california showdown undercover stripclub investigation weapon police smuggling swimmingpool gunfight mansion losangeles footchase artgallery carchase warehouse beverlyhills buddycomedy countryclub maverickcop detroitmichigan damselindistress barfight "
598,The Evil Dead,The Evil Dead,Horror English RenaissancePictures BruceCampbell EllenSandweiss RichardDeManincor BetsyBaker TheresaTilly SamRaimi PhilipA.Gillis SamRaimi SamRaimi falselyaccused beheading audiotape logcabin chainsaw giantplant aggressionbyplant lodge friends stopmotion evil occult bookofthedead necronomicon demonicpossession videonasty unofficialremake 
599,Jaws: The Revenge,Jaws: The Revenge,Adventure Thriller English UniversalPictures LorraineGary LanceGuest MarioVanPeebles MichaelCaine KarenYoung JudithBarsi LynnWhitfield PeterBenchley JosephSargent MichaelDeGuzman sharkattack bahamas dyinganddeath aggressionbyanimal sequel revenge underwater shark greatwhiteshark animalattack caribbean christmas bananaboat 
600,The Million Dollar Hotel,The Million Dollar Hotel,Drama Thriller English KintopPictures MelGibson MillaJovovich JeremyDavies AmandaPlummer PeterStormare BudCort JimmySmits WimWenders NicholasKlein Bono hotel confidence junkie book friendship insanity losangeles drug fbiagent 
601,Sweet November,Sweet November,Drama Romance English BelAirEntertainment WarnerBros. KeanuReeves CharlizeTheron JasonIsaacs GregGermann LaurenGraham MichaelRosenbaum FrankLangella PatO'Connor KurtVoelker workaholic dogsitter 
602,15 Minutes,15 Minutes,Action Crime Thriller Český English ελληνικά Pусский NewLineCinema IndustryEntertainment TribecaProductions NewRedemptionPictures RobertDeNiro CharlizeTheron EdwardBurns KelseyGrammer AveryBrooks VeraFarmiga KimCattrall JohnHerzfeld JohnHerzfeld DavidE.Duncan newyork femalenudity prison prostitute rape robbery fire detective airport shotgun prisoner ex-detainee attemptedmurder paranoia russian easterneurope video knife fistfight police thief revenge videocamera escape breast deadbody lawyer shottodeath torture fear newyorkcity urination violence homeinvasion criminal policedetective death drunk nypd newsreport gunviolence graveyard deathofboyfriend 
603,Avalon,Avalon,Drama  English TriStarPictures BaltimorePictures LeoFuchs EveGordon LouJacobi ArminMueller-Stahl ElizabethPerkins JoanPlowright AidanQuinn BarryLevinson BarryLevinson usa russia jew rabbi synagogue barmitvah emigrant 
604,The Fortune Cookie,The Fortune Cookie,Romance Comedy English Phalanx-Jaelem JackLemmon WalterMatthau RonRich JudiWest CliffOsmond LureneTuttle HarryHolcombe BillyWilder BillyWilder I.A.L.Diamond usa americanfootball brother-in-law wheelchair honesty cinematographer insurancefraud shadowing fortunecookie ex-wife 
605,The Greatest Story Ever Told,The Greatest Story Ever Told,Drama History English GeorgeStevensProductions MaxvonSydow MichaelAndersonJr. CarrollBaker InaBalin VictorBuono RichardConte JoannaDunham GeorgeStevens JamesLeeBarrett GeorgeStevens FultonOursler jesuschrist biography epic 
606,Fuzz,Fuzz,Comedy Crime Drama English FilmwaysPictures JavelinPictures BurtReynolds TomSkerritt JackWeston RaquelWelch YulBrynner JamesMcEachin SteveIhnat RichardA.Colla EvanHunter EvanHunter blackmail 
607,Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man,Action Thriller English Metro-Goldwyn-Mayer(MGM) Krisjair Laredo MickeyRourke DonJohnson ChelseaField DanielBaldwin GiancarloEsposito VanessaWilliams RobertGinty SimonWincer DonMichaelPaul corruption harleydavidson drugdealer losangeles lasvegas 
608,Mermaids,Mermaids,Comedy Drama Romance English OrionPictures Cher WinonaRyder ChristinaRicci BobHoskins MichaelSchoeffling CarolineMcWilliams RexTrailer RichardBenjamin PattyDann JuneRoberts dress swimming kennedyassassination polkadot aspiringnun gynecologicalexam jewishgirl shoesalesman polkadotdress romancatholic bellringing referencetojoanofarc belltower 1960s 
609,Memento,Memento,Mystery Thriller English SummitEntertainment NewmarketCapitalGroup TeamTodd IRememberProductions GuyPearce Carrie-AnneMoss JoePantoliano MarkBooneJunior StephenTobolowsky HarrietSansomHarris CallumKeithRennie ChristopherNolan ChristopherNolan JonathanNolan individual insulin tattoo waitress amnesia motel insurancesalesman revenge memoryloss polaroid flashback neo-noir 
610,The Tailor of Panama,The Tailor of Panama,Drama Thriller English Español ColumbiaPictures MerlinFilms PierceBrosnan GeoffreyRush JamieLeeCurtis LeonorVarela BrendanGleeson HaroldPinter CatherineMcCormack JohnBoorman JohnleCarré AndrewDavies JohnleCarré JohnBoorman dancing spy birthday map fireworks bridge secretagent president children independentfilm debt swimming political band 
611,Along Came a Spider,Along Came a Spider,Crime Mystery Thriller Action English Pусский ParamountPictures AZLProductionsKG DavidBrownProductions MFPMunichFilmPartners Phase1Productions RevelationsEntertainment MorganFreeman MonicaPotter MichaelWincott DylanBaker MikaBoorem AntonYelchin JayO.Sanders LeeTamahori JamesPatterson MarcMoss psychology policeoperation police psychologist 
612,Blow,Blow,Crime Drama English NewLineCinema JohnnyDepp PenélopeCruz EthanSuplee RayLiotta FrankaPotente RachelGriffiths PaulReubens DavidMcKenna NickCassavetes TedDemme BrucePorter 1970s warondrugs drugaddiction drugtraffic drugsmuggle riseandfall 
613,Just Visiting,Just Visiting,Comedy Fantasy ScienceFiction English Français Gaumont HollywoodPictures BruinGripServices JeanReno ChristinaApplegate ChristianClavier MattRoss TaraReid BridgetteWilson JohnAylward Jean-MariePoiré ChristianClavier Jean-MariePoiré JohnHughes timetravel remake alternatehistory dragon remakeoffrenchfilm alternatetimeline flatulence 
614,Scarface,Scarface,Action Crime Drama Thriller English Español UniversalPictures AlPacino StevenBauer MichellePfeiffer MaryElizabethMastrantonio RobertLoggia MiriamColón F.MurrayAbraham BrianDePalma OliverStone ArmitageTrail miami corruption capitalism cuba prohibition brothersisterrelationship lossofsister cocaine cultfilm bitterness 
615,One Night at McCool's,One Night at McCool's,Action Comedy Crime English USAFilms MattDillon LivTyler MaryJoSmith MichaelDouglas PaulReiser RebaMcEntire JohnGoodman HaraldZwart StanSeidel conspiracyofmurder neo-noir 
616,The Mummy Returns,The Mummy Returns,Adventure Action Fantasy English العربية UniversalPictures AlphavilleFilms ImhotepProductions BrendanFraser RachelWeisz JohnHannah ArnoldVosloo OdedFehr DwayneJohnson FreddieBoath StephenSommers StephenSommers son ancientegypt bracelet 
617,Sous le Sable,Under the Sand,Drama Mystery Français FidélitéProductions EuroSpaceInc. CharlotteRampling BrunoCremer JacquesNolot AlexandraStewart PierreVernier AndréeTainsy MichelCordes FrançoisOzon FrançoisOzon MarinadeVan MarciaRomano EmmanuèleBernheim beach wifehusbandrelationship sadness disappearance 
618,Krull,Krull,Fantasy Action Adventure English ColumbiaPicturesCorporation BarclaysMercantileIndustrialFinance KenMarshall LysetteAnthony FrancescaAnnis AlunArmstrong DavidBattley BernardBresslaw LiamNeeson PeterYates StanfordSherman kingdom lightsaber cultfavorite deadbody magicalobject fortress doppelganger cyclops changeling 
619,Frankie and Johnny,Frankie and Johnny,Drama Comedy Romance English ParamountPictures MichellePfeiffer AlPacino HéctorElizondo KateNelligan NathanLane HarveyMiller JaneMorris GarryMarshall TerrenceMcNally ex-detainee cook restaurant greek love diner 
620,Du rififi chez les hommes,Rififi,Drama Action Crime English Français Italiano SociétéNationalePathéCinéma PrimaFilms Indusfilms JeanServais CarlMöhner RobertManuel JanineDarcey MagaliNoël MarieSabouret RobertHossein JulesDassin JulesDassin AugusteLeBreton AugusteLeBreton AugusteLeBreton RenéWheeler italian jewelry safe nightclub burglary newspaperstand rough silhouetteddancer cigarettelighter tuberculosis cleaners 
621,Shrek,Shrek,Adventure Animation Comedy Family Fantasy English DreamWorksSKG PacificDataImages(PDI) DreamWorksAnimation MikeMyers EddieMurphy CameronDiaz JohnLithgow VincentCassel PeterDennis ClivePearse TedElliott TerryRossio AndrewAdamson VickyJenson WilliamSteig RogerS.H.Schulman JoeStillman HankMayo magic liberation lordship castle robinhood enchantment fairy-talefigure princess parody womandirector ogre 
622,Moulin Rouge!,Moulin Rouge!,Drama Music Romance Français Español English BazmarkFilms TwentiethCenturyFoxFilmCorporation NicoleKidman EwanMcGregor JohnLeguizamo JimBroadbent RichardRoxburgh GarryMcDonald JacekKoman BazLuhrmann BazLuhrmann CraigPearce duke musical writer'sblock music terminalillness writer noopeningcredits moulinrouge bohemian toulouselautrec redcurtain cancandance latraviata orpheusandeurydice dancehall 
